EMPATIA HINT1
CORAGEM HINT2
TRANSBORDAR HINT3
ANSIOSO HINT4
REDIMIR HINT5
PROBLEMA HINT6
PROCESSO HINT7
OBJETIVO HINT8
SANIDADE HINT9
MAESTRIA HINT10
DISTINTO HINT11
ABSTRATO HINT12
RESPEITO HINT13
LIBERDADE HINT14
AUTONOMIA HINT15
EXCELENTE HINT16
INTERESSE HINT17
DILIGENTE HINT18
ESSENCIAL HINT19
POBREZA HINT20
MESQUINHA HINT21
PERSPICAZ HINT22
DIFICULDADE HINT23
ANTAGONISTA HINT24
CONSECUTIVO HINT25
DESENVOLVER HINT26
DIVERSIDADE HINT27
REMANESCENTE HINT28
RECIPROCIDADE HINT29
FUNCIONALIDADE HINT30
